Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [1/397] Source ID
   5- 9  F5.2       mJy    $S_{\nu,flux}$ [0.04/10.89] Dendrogram countour flux
  11-14  F4.2   mJy.beam-1 $S_{\nu,peak}$ [0.16/4.7] Brightest pixel flux
  16-20  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.03/0.07] Noise
  22-26  F5.3       arcsec FWHM$_{maj}$   [0.03/0.29] Source FWHM (maj)
  28-32  F5.3       arcsec FWHM$_{min}$   [0.01/0.25] Source FWHM (min)
  34-65  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  67-98  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    100  I1         ---    Score          [1/2] 2=detection; 1=likely detection
102-110  A9         ---    G18            ? Source ID match from G18 catalog
112-113  I2         K      $T_B$          [3/94] Brightness temperature
115-120  F6.2       ---    $\alpha$       [1.3/4.5] Spectral index
122-127  F6.2       ---    $\alpha_{err}$ [0.03/0.4] Spectral index error
129-133  F5.1      solMass Mass           [1.1/163.0] Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
316  0.98 0.31 0.032 0.239 0.078 17:47:19.5432                    -28:22:36.696                    1 232        6   3.40   0.30  17.8
317  0.20 0.21 0.032 0.077 0.053 17:47:18.504                     -28:22:12.648                    1            4   4.00   0.30   4.5
318  0.45 0.39 0.032 0.088 0.065 17:47:18.5016                    -28:22:12.108                    2            7   3.30   0.30   7.7
319  0.33 0.61 0.032 0.052 0.042 17:47:18.5184                    -28:22:11.496                    2 103       12   3.10   0.20   5.4
320  0.35 0.45 0.032 0.070 0.055 17:47:18.6624                    -28:22:10.38                     2            9   3.00   0.30   5.9
321  1.61 1.17 0.032 0.108 0.075 17:47:19.7952                    -28:22:40.296                    2           23   2.60   0.30  24.8
322  2.17 1.41 0.032 0.109 0.091 17:47:19.7712                    -28:22:40.08                     2           28   2.40   0.20  33.1
323  3.60 1.89 0.032 0.121 0.091 17:47:19.8384                    -28:22:40.08                     2 97        38   2.00   0.20  54.6
324  1.09 0.74 0.032 0.111 0.056 17:47:19.8552                    -28:22:40.044                    2 97        14   2.90   0.30  17.2
325  0.49 0.29 0.032 0.119 0.065 17:47:19.7016                    -28:22:39.18                     1            5   3.80   0.30   9.1
