Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: catNB6_full.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [1/340]? Source ID
   5- 9  F5.1       mJy    $S_{\nu,flux}$ [0.8/133.0]? Dendrogram contour flux
  11-14  F4.1   mJy.beam-1 $S_{\nu,peak}$ [1.8/54.7]? Brightest pixel flux
  16-20  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.35/1.16]? Noise
  22-26  F5.3       arcsec FWHM$_{maj}$   [0.03/0.31]? Source FWHM (maj)
  28-32  F5.3       arcsec FWHM$_{min}$   [0.01/0.18]? Source FWHM (min)
  34-65  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  67-98  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    100  I1         ---    Score          [1/2]? 2=core, 1=likely core
102-109  A8         ---    Source         Type of source
111-113  I3         ---    ID$_{Band 3}$  [2/323]? Source ID match from Band 3
115-117  I3         K      $T_B$          [13/409]? Brightness temperature
119-123  F5.2       ---    $\alpha$       [-1.01/4.3]? Spectral index
125-128  F4.2       ---    $\alpha_{err}$ [0.01/0.4]? Spectral index error
130-133  F4.1      solMass Mass           [0.8/39.71]? Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
241   4.6  3.7 0.353 0.067 0.036 17:47:19.9104                    -28:22:13.728                    1 core     166  27  3.00 0.20  2.9
245   1.6  1.8 0.353 0.040 0.039 17:47:19.9728                    -28:22:13.656                    1 core          13  3.20 0.30  1.6
247  99.3 54.7 0.353 0.124 0.060 17:47:19.896                     -28:22:13.584                    1 HII_new  167 409  1.04 0.01     
249   1.2  2.2 0.353 0.044 0.024 17:47:19.8864                    -28:22:13.476                    1 core          16  2.00 0.30  1.0
250   2.9  2.0 0.353 0.125 0.026 17:47:19.9128                    -28:22:13.44                     1 HII_new  176  15  1.00 0.30     
252   5.0  2.4 0.353 0.141 0.028 17:47:19.6344                    -28:22:15.06                     1 core     136  17  2.00 0.30  3.7
253   2.5  3.0 0.353 0.069 0.024 17:47:19.6344                    -28:22:14.844                    2 core     141  22  1.70 0.30  1.6
254   1.7  2.1 0.353 0.052 0.029 17:47:19.6032                    -28:22:14.628                    1 core     206  15  2.10 0.30  1.4
255   8.2  3.1 0.353 0.145 0.044 17:47:19.6968                    -28:22:14.34                     1 core     154  23  2.80 0.20  5.4
256   2.2  2.5 0.353 0.063 0.027 17:47:19.6824                    -28:22:14.304                    2 core     155  18  2.50 0.30  1.6
264   3.1  3.1 0.353 0.062 0.028 17:47:19.8816                    -28:22:13.296                    1 core          23  2.10 0.20  2.0
265 133.0 14.5 0.353 0.214 0.174 17:47:19.8576                    -28:22:13.08                     2 HII_new  211 108  1.97 0.03     
268   4.8  3.9 0.353 0.056 0.040 17:47:19.8864                    -28:22:13.188                    1 core     212  28  2.00 0.10  3.0
270   9.3  4.2 0.353 0.112 0.042 17:47:19.8912                    -28:22:13.116                    1 core     212  31  2.20 0.10  5.6
273   4.6  3.3 0.353 0.092 0.032 17:47:19.5672                    -28:22:14.484                    2 core     209  24  2.30 0.20  3.0
274   6.8  2.5 0.353 0.169 0.051 17:47:19.6656                    -28:22:13.152                    1 HII_cand 213  18  2.50 0.20     
